case,case_type,component_categories,status,errors,warnings,roi_boundary_normalized_lines,standard_format,live_format,standard_width,standard_height,standard_channels,live_width,live_height,live_channels,roi_count,standard_brightness,live_brightness,standard_contrast,live_contrast,standard_sharpness,live_sharpness,brightness_delta,contrast_delta,sharpness_delta,raw_luma_mad,aspect_ratio_delta,mean_roi_relative_area,mean_roi_aspect_ratio,standard_keypoints,live_keypoints,feature_match_count,inlier_count,inlier_rate,reprojection_error_pixels,spatial_coverage,center_displacement_pixels,center_displacement_relative_diagonal,corner_displacement_median_pixels,projected_corners_in_live_frame,projected_area_ratio,projected_geometry_valid,alignment_diagnostic,alignment_diagnostic_reasons,homography_available,ecc_converged,ecc_correlation,valid_overlap_available,valid_overlap_ratio
"220kV创业站-#4主变_变高中性点套管_日常","日常","178|179","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,79.79011767,126.3257957,68.4863472,57.68132866,810.342584,4093.09823,46.53567805,10.80501854,3282.755646,94.30073785,0,0.1675521465,0.6742950161,2000,2000,72,61,0.8472222222,0.5473421665,0.1105414685,1.074410759,0.0004877240285,8.299632479,1,1.001177673,true,"usable","",true,false,,true,0.993405189
"220kV创业站-221PT_本体_日常","日常","257","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,89.23936343,103.204987,30.04738005,46.99553428,584.2402161,1448.384884,13.96562355,16.94815423,864.1446677,31.84663821,0,0.1314483901,0.3670012966,2000,2000,344,287,0.8343023256,0.2525914057,0.2038769784,0.1449705356,6.580873563e-05,1.592674947,1,0.999810013,true,"usable","",true,true,0.5554257064,true,0.9980627894
"220kV固戍站-#3主变_顶盖_日常","日常","175","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,7,125.7573592,108.3467892,55.27067259,57.84039399,4218.987769,3799.303978,17.41057002,2.569721398,419.6837906,33.20265914,0,0.006150743895,0.6952363167,2000,2000,326,283,0.8680981595,0.4079139091,0.3860414715,0.2224541131,0.0001009820641,1.151068254,3,0.9983496531,true,"usable","",true,true,0.8222094697,true,0.9993012153
"220kV坪山站-15191刀闸_C相触头_日常","日常","149","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,110.5927001,108.8084254,60.52280054,54.07691297,2856.628332,2637.652537,1.784274691,6.445887568,218.9757949,43.64247299,0,0.01175155989,0.8294059349,2000,2000,306,169,0.5522875817,1.433785786,0.4106982192,11.90611694,0.005404729304,18.09055419,0,1.023673801,true,"usable","",true,true,0.7765573126,true,0.9742785494
"220kV奋进站-#1主变_C相变高套管_日常","日常","178|179","valid","","ROI boundary normalized at line 1",1,"jpg","jpg",1920,1080,3,1920,1080,3,2,61.78973621,110.9530715,67.74498643,70.11007674,1080.704795,5165.142777,49.16333526,2.365090313,4084.437982,93.43038194,0,0.09308934333,0.7101145735,2000,2000,25,11,0.44,0.569177094,0.01259177039,262.0517931,0.1189572564,558.3494137,2,0.574943876,true,"unreliable","inlier spatial coverage below diagnostic minimum (0.02); ECC correlation below diagnostic minimum after convergence (0.20)",true,true,0.1470677861,true,0.9572352431
"220kV奋进站-#2主变_A相变高套管接线掌_日常","日常","176|177","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,77.13216242,128.1456182,62.46926942,59.56178146,722.9694399,3883.636426,51.01345583,2.907487951,3160.666986,76.2270843,0,0.03719394204,0.368139239,1938,2000,163,143,0.8773006135,0.2674295888,0.08469970359,0.06413340018,2.911307433e-05,2.333497864,2,0.9976016919,true,"unreliable","ECC correlation below diagnostic minimum after convergence (0.20)",true,true,0.1828424059,true,0.9986636767
"220kV奋进站-#2主变_变高中性点套管接线掌_日常","日常","176|177","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,85.14433546,94.664511,63.62044168,46.61550132,1304.865505,1783.641468,9.52017554,17.00494036,478.7759627,46.76346161,0,0.02200940036,0.3818385411,2000,2000,190,138,0.7263157895,0.2160601817,0.2110683257,0.07342184285,3.332952194e-05,0.4134276492,0,0.9991015668,true,"usable","",true,true,0.4327799731,true,0.9994068287
"220kV奋进站-#3主变_变高B相套管油位表_表计","表计","216","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,113.5514198,143.5825405,33.69661095,48.04910261,339.1310585,497.8897085,30.03112076,14.35249167,158.7586499,42.73764853,0,0.003850626186,0.5063009552,1880,2000,360,304,0.8444444444,0.2443469483,0.2450962509,0.6773723465,0.000307490191,1.329048785,1,0.9995310834,true,"usable","",true,true,0.7617753168,true,0.9989211998
"220kV奋进站-#4主变_B相变中套管升高座_日常","日常","188","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,1,84.80693094,94.07495853,65.80269958,70.26318836,1147.365601,1708.537641,9.268027585,4.460488779,561.1720403,69.19552469,0,0.1189463256,0.8098885013,2000,2000,49,24,0.4897959184,0.3414981494,0.0574420853,2.235358436,0.001014731109,5.708515044,1,0.9958026845,true,"unreliable","ECC correlation below diagnostic minimum after convergence (0.20)",true,true,0.190947509,true,0.9981722608
"220kV奋进站-#4主变_B相变高套管接线掌_日常","日常","176|177","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,88.63516493,110.1776577,61.53718947,65.23466717,717.7701263,2036.446483,21.54249277,3.697477698,1318.676357,58.07403501,0,0.021494134,0.4610219044,2000,2000,241,225,0.9336099585,0.2896473342,0.1876521349,0.5563642552,0.0002525591013,1.702960495,2,0.9995710819,true,"usable","",true,true,0.4131984142,true,0.9978732639
"220kV平安站-#1主变_C相变中套管油位_表计","表计","217","valid","","",0,"jpg","jpg",1280,720,3,1280,720,3,1,78.2523622,103.8734234,38.69005838,43.85813179,513.3660635,493.0785422,25.6210612,5.168073407,20.28752129,43.6172678,0,0.01098133166,0.4714708812,1940,2000,62,48,0.7741935484,0.3477627321,0.3927204035,0.1336282613,9.098994033e-05,0.1365539487,3,0.997339147,true,"unreliable","ECC correlation below diagnostic minimum after convergence (0.20)",true,true,0.1804709151,true,1
"220kV平安站-#2主变_变高中性点套管_日常","日常","178|179","valid","","",0,"jpg","jpg",1280,720,3,1280,720,3,2,76.81814128,116.2943728,42.06473593,52.55077706,644.7715905,1578.791635,39.47623155,10.48604113,934.0200442,57.62884006,0,0.03047992189,0.4586600369,2000,2000,62,47,0.7580645161,0.2839198457,0.09893310314,0.7811171878,0.0005318770566,3.218176474,1,1.001155751,true,"usable","",true,true,0.2320367212,true,0.9947059462
"220kV平安站-#3主变_B相变中套管_日常","日常","179","valid","","",0,"jpg","jpg",1280,720,3,1280,720,3,1,93.6648036,113.1637023,42.17144791,57.75829872,470.9743359,1418.37548,19.49889865,15.5868508,947.4011438,46.49684136,0,0.1222889508,0.2252944362,2000,2000,38,14,0.3684210526,0.3567352362,0.3631066523,0.2614749103,0.0001780430746,1.42914986,2,0.9955738238,true,"unreliable","inlier rate below diagnostic minimum (0.40)",true,true,0.4264938958,true,0.9991221788
"220kV庙西站-#1主变_穿墙套管侧通道_日常1","日常1","266","valid","","",0,"jpg","jpg",1920,1080,3,1920,1080,3,2,119.2250936,134.8569136,65.64978878,32.44780095,1331.102758,1276.989241,15.63182002,33.20198783,54.11351665,65.56319541,0,0.1713389636,1.061636296,2000,2000,97,86,0.8865979381,0.6185665375,0.1348614339,0.6142778166,0.0002788487073,9.875346931,1,0.9961495097,true,"usable","",true,false,,true,0.9946653164
